,Use_Percentage (%),Pokemon,Teammate
0,54.189%,Zacian Crowned Sword,Incineroar
1,37.766%,Kyogre,Incineroar
2,56.035%,Grimmsnarl,Incineroar
3,47.343%,Regieleki,Incineroar
4,61.378%,Rillaboom,Incineroar
5,71.282%,Groudon,Incineroar
6,39.309%,Calyrex Shadow Rider,Incineroar
7,56.853%,Thundurus Incarnate Forme,Incineroar
8,37.907%,Landorus Therian Forme,Incineroar
9,70.758%,Gastrodon,Incineroar
10,70.405%,Charizard,Incineroar
11,60.857%,Amoonguss,Incineroar
12,23.759%,Indeedee Female,Incineroar
13,22.296%,Whimsicott,Incineroar
14,58.851%,Yveltal,Incineroar
15,72.170%,Calyrex Ice Rider,Incineroar
16,72.365%,Palkia,Incineroar
17,52.601%,Porygon2,Incineroar
18,30.613%,Tornadus Incarnate Forme,Incineroar
19,56.028%,Zapdos,Incineroar
20,37.885%,Kartana,Incineroar
21,55.509%,Blastoise,Incineroar
22,58.019%,Venusaur,Incineroar
23,31.626%,Ferrothorn,Incineroar
24,20.983%,Ditto,Incineroar
25,20.020%,Urshifu Single Strike Style,Incineroar
26,74.256%,Xerneas,Incineroar
27,42.353%,Dialga,Incineroar
28,13.633%,Shedinja,Incineroar
29,41.476%,Solgaleo,Incineroar
30,76.026%,Dusclops,Incineroar
31,32.554%,Torkoal,Incineroar
32,14.269%,Kingdra,Incineroar
33,37.691%,Raichu,Incineroar
34,16.087%,Weezing,Incineroar
35,73.243%,Lunala,Incineroar
36,29.881%,White Kyurem,Incineroar
37,60.676%,Tapu Fini,Incineroar
38,67.992%,Sableye,Incineroar
39,57.635%,Urshifu Rapid Strike Style,Incineroar
40,76.435%,Mimikyu,Incineroar
41,21.986%,Gothitelle,Incineroar
42,52.210%,Seismitoad,Incineroar
43,43.664%,Ho-oh,Incineroar
44,14.376%,Heat Rotom,Incineroar
45,52.155%,Eternatus,Incineroar
46,61.320%,Bronzong,Incineroar
47,42.981%,Togekiss,Incineroar
48,81.650%,Coalossal,Incineroar
49,48.311%,Dragapult,Incineroar
50,23.530%,Umbreon,Incineroar
51,41.267%,Comfey,Incineroar
52,57.418%,Lapras,Incineroar
53,72.361%,Rayquaza,Incineroar
54,57.375%,Spectrier,Incineroar
55,27.850%,Reshiram,Incineroar
56,81.782%,Zygarde Complete Forme,Incineroar
57,32.785%,Mamoswine,Incineroar
58,35.312%,Metagross,Incineroar
59,49.528%,Araquanid,Incineroar
60,27.288%,Pheromosa,Incineroar
61,60.636%,Zamazenta Crowned Shield,Incineroar
62,32.716%,Clefairy,Incineroar
63,16.132%,Mienshao,Incineroar
64,42.661%,Lugia,Incineroar
65,40.113%,Chansey,Incineroar
66,60.260%,Suicune,Incineroar
67,66.475%,Landorus Incarnate Forme,Incineroar
68,45.562%,Dusk Mane Necrozma,Incineroar
69,19.691%,Alcremie,Incineroar
70,69.215%,Tapu Koko,Incineroar
71,24.038%,Tsareena,Incineroar
72,83.583%,Glastrier,Incineroar
73,14.823%,Regidrago,Incineroar
74,48.854%,Zekrom,Incineroar
75,12.929%,Shuckle,Incineroar
76,44.408%,Galarian Zapdos,Incineroar
77,28.737%,Meowstic Male,Incineroar
78,37.412%,Snorlax,Incineroar
79,25.142%,Stakataka,Incineroar
80,36.068%,Thundurus Therian Forme,Incineroar
81,40.508%,Galarian Moltres,Incineroar
82,45.454%,Milotic,Incineroar
83,44.296%,Mewtwo,Incineroar
84,66.089%,Salamence,Incineroar
85,42.467%,Hatterene,Incineroar
86,12.412%,Sneasel,Incineroar
87,72.420%,Escavalier,Incineroar
88,43.818%,Wash Rotom,Incineroar
89,38.013%,Politoed,Incineroar
90,42.253%,Ludicolo,Incineroar
91,51.558%,Slowking,Incineroar
92,3.680%,Swampert,Incineroar
93,5.779%,Azumarill,Incineroar
94,65.598%,Scizor,Incineroar
95,47.055%,Galarian Articuno,Incineroar
96,25.902%,Pikachu,Incineroar
97,34.150%,Alolan Ninetales,Incineroar
98,12.595%,Giratina Origin Forme,Incineroar
99,11.843%,Toxapex,Incineroar
100,41.224%,Raikou,Incineroar
101,7.001%,Pelipper,Incineroar
102,71.223%,Galarian Weezing,Incineroar
103,38.982%,Kingler,Incineroar
104,18.648%,Oranguru,Incineroar
105,51.618%,Nihilego,Incineroar
106,21.317%,Garchomp,Incineroar
107,80.219%,Tapu Bulu,Incineroar
108,68.084%,Kangaskhan,Incineroar
109,93.443%,Drifblim,Incineroar
110,60.687%,Primarina,Incineroar
111,67.264%,Sceptile,Incineroar
112,39.074%,Pincurchin,Incineroar
113,36.502%,Aegislash Shield Forme,Incineroar
114,36.460%,Porygon-Z,Incineroar
115,40.783%,Butterfree,Incineroar
116,40.273%,Mudsdale,Incineroar
117,31.952%,Cherrim,Incineroar
118,7.448%,Exeggutor,Incineroar
119,55.600%,Altaria,Incineroar
120,50.539%,Klefki,Incineroar
121,36.478%,Jellicent,Incineroar
122,25.653%,Riolu,Incineroar
123,30.030%,Alolan Exeggutor,Incineroar
124,21.171%,Dragonite,Incineroar
125,26.876%,Cradily,Incineroar
126,47.927%,Obstagoon,Incineroar
127,63.496%,Kabutops,Incineroar
128,2.919%,Clefable,Incineroar
129,31.925%,Appletun,Incineroar
130,18.721%,Bisharp,Incineroar
131,58.958%,Stonjourner,Incineroar
132,55.884%,Diggersby,Incineroar
133,30.296%,Giratina Altered Forme,Incineroar
134,15.545%,Corviknight,Incineroar
135,25.520%,Cresselia,Incineroar
136,98.945%,Wishiwashi Solo Form,Incineroar
137,16.101%,Conkeldurr,Incineroar
138,46.878%,Boltund,Incineroar
139,18.775%,Terrakion,Incineroar
140,24.601%,Black Kyurem,Incineroar
141,63.725%,Mantine,Incineroar
142,7.583%,Machamp,Incineroar
143,29.962%,Goodra,Incineroar
144,40.953%,Silvally,Incineroar
145,44.861%,Xurkitree,Incineroar
146,3.388%,Garbodor,Incineroar
147,58.785%,Dugtrio,Incineroar
148,53.821%,Mow Rotom,Incineroar
149,50.875%,Glaceon,Incineroar
150,76.829%,Manectric,Incineroar
151,46.162%,Crobat,Incineroar
152,75.266%,Tyrantrum,Incineroar
153,25.228%,Cinccino,Incineroar
154,38.081%,Kommo-o,Incineroar
155,21.429%,Blissey,Incineroar
156,13.893%,Cloyster,Incineroar
157,50.972%,Drampa,Incineroar
158,38.559%,Hawlucha,Incineroar
159,62.249%,Mime Galarian Mr. Mime,Incineroar
160,11.580%,Clawitzer,Incineroar
161,83.290%,Qwilfish,Incineroar
162,6.792%,Haxorus,Incineroar
163,14.517%,Dhelmise,Incineroar
164,14.974%,Runerigus,Incineroar
165,38.734%,Braviary,Incineroar
166,42.610%,Virizion,Incineroar
167,15.943%,Alolan Raichu,Incineroar
168,26.588%,Copperajah,Incineroar
169,37.362%,Sylveon,Incineroar
170,20.866%,Slurpuff,Incineroar
171,30.306%,Hippowdon,Incineroar
172,19.043%,Alakazam,Incineroar
173,53.950%,Thievul,Incineroar
174,39.071%,Cofagrigus,Incineroar
175,37.114%,Starmie,Incineroar
176,15.207%,Ribombee,Incineroar
177,22.547%,Toxtricity Low Key Form,Incineroar
178,48.245%,Magnezone,Incineroar
179,11.975%,Gallade,Incineroar
180,19.993%,Gourgeist Small Size,Incineroar
181,35.976%,Shiinotic,Incineroar
182,31.914%,Lycanroc Dusk Form,Incineroar
183,10.298%,Galarian Slowbro,Incineroar
184,28.813%,Roserade,Incineroar
185,54.193%,Tangrowth,Incineroar
186,32.065%,Sandaconda,Incineroar
187,28.852%,Polteageist,Incineroar
188,68.014%,Tangela,Incineroar
189,20.535%,Crawdaunt,Incineroar
190,26.234%,Heracross,Incineroar
191,35.083%,Stoutland,Incineroar
192,35.684%,Jolteon,Incineroar
193,21.656%,Cursola,Incineroar
194,19.382%,Dedenne,Incineroar
195,47.112%,Reuniclus,Incineroar
196,18.812%,Dusknoir,Incineroar
197,32.678%,Gardevoir,Incineroar
198,42.522%,Galvantula,Incineroar
199,17.917%,Passimian,Incineroar
200,27.546%,Lycanroc Midday Form,Incineroar
201,29.271%,Tentacruel,Incineroar
202,45.421%,Dragalge,Incineroar
203,47.973%,Scyther,Incineroar
204,36.944%,Alolan Sandslash,Incineroar
205,54.037%,Lycanroc Midnight Form,Incineroar
206,18.550%,Golurk,Incineroar
207,85.839%,Fan Rotom,Incineroar
208,22.682%,Steelix,Incineroar
209,88.447%,Corsola,Incineroar
210,31.467%,Zacian Crowned Sword,Kyogre
211,22.887%,Incineroar,Kyogre
212,24.080%,Grimmsnarl,Kyogre
213,27.632%,Regieleki,Kyogre
214,31.216%,Rillaboom,Kyogre
215,18.351%,Calyrex Shadow Rider,Kyogre
216,16.827%,Thundurus Incarnate Forme,Kyogre
217,43.125%,Landorus Therian Forme,Kyogre
218,30.845%,Amoonguss,Kyogre
219,56.547%,Indeedee Female,Kyogre
220,52.084%,Whimsicott,Kyogre
221,17.536%,Calyrex Ice Rider,Kyogre
